PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
276025578,22042994,6,2022-03-23T07:33:00,"900 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,103,6,6,-79.9931846836602,40.4350718181921
276068692,22043110,6,2022-03-23T08:00:00,"500 Block S Winebiddle St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT FROM AUTO,3934 Theft from Vehicle,804,,,,
276097547,22043272,99,2022-03-23T16:32:00,"200 Block Linnview Ave Pittsburgh, PA 15210",Y,Carrick,3,AIDED CASE,9497 Aided Case,2902,4,3,-79.9863918852711,40.4032378392221
277818192,22054214,6,2022-04-11T15:46:00,"6300 Block Phillips Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1408,5,3,-79.9182215595663,40.4322924433083
277831915,22053743,99,2022-04-10T18:40:00,"1400 Block Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,GAMBLING INVESTIGATION,9130 Graffiti Investigation,1702,3,3,-79.9840389848657,40.4293734144452
277982425,22055174,10,2022-04-13T09:13:00,"4600 Block Bayard St Pittsburgh, PA 15213",N,North Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),507,8,3,-79.9502386278951,40.4497741578089
277990707,22055250,99,2022-04-13T12:15:00,"6000 Block Harvard St Pittsburgh, PA 15206",N,East Liberty,5,AIDED CASE,9497 Aided Case,1113,,,,
277857702,22054491,6,2022-04-12T04:48:00,"7200 Block Kedron St Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1302,9,2,-79.8949399197312,40.4608129131613
-3352004541,22054828,10,2022-04-12T17:19:00,"200 Block Morewood Ave Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT,2709(a) Harassment. / 9012 Non-Violent Domestic,804,7,2,-79.9466924880114,40.4559367851886
277914694,22054845,6,2022-04-12T17:59:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),"3929 Retail Theft. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115,8,2,-79.92259331497,40.4601393368172
277917001,22034917,0,2022-04-12T20:59:00,"500 Block Celeron St Pittsburgh, PA 15221",Y,Point Breeze,4,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1406,9,3,-79.895115461131,40.4413396682233
277922282,22055060,0,2022-04-13T01:40:00,"300 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): ,3001,3,5,-79.9930100472604,40.4113600917377
277976954,22055222,10,2022-04-13T10:25:00,"25th St & Penn Ave Pittsburgh, PA 15222",Y,Strip District,2,HARRASSMENT,2709(a) Harassment.,203,7,6,-79.979856655435,40.4539406535291
277978286,22041610,14,2022-03-20T23:54:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Homewood South,2,INJURY/TAMP/FIRE APP-HYD-ETC,3305 Limitations on Overtaking on the Left. / 3303 Overtaking Vehicle on the Left. / 3736 Reckless Driving / 3301 Driving on Right Side of Roadway. / 3733 Fleeing or Attempting to Elude Police Officer / 3323 Stop Signs and Yield Signs. / 3111 Obedience to Traffic-Control Devices. / 3361  Driving Vehicle at Safe Speed. / 3361  Driving Vehicle at Safe Speed. / 1376 Surrender of Reg. Upon Susp. or Revocation.,201,6,6,-79.9960409452176,40.4350395659105
275494896,22039374,0,2022-03-17T09:41:00,"1100 Block Galveston Ave Pittsburgh, PA 15233",N,Troy Hill,1,99,9999 9999 - (Misc. Incident): ,2406,1,1,-80.0169137385292,40.4536718917944
276171239,22039612,10,2022-03-17T17:57:00,"400 Block Grant St Pittsburgh, PA 15219",Y,Bloomfield,2,TERRORISTIC THREATS,4952 Intimidation of Witnesses or Victims / 2706 Terroristic Threats.,201,6,6,-79.9974986104995,40.4383790984651
276371766,22044866,4,2022-03-26T02:31:00,"200 Block Mayfield Ave Pittsburgh, PA 15214",Y,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 5104 Resisting Arrest or Other Law Enforcement. / 4304(a)(1) Endangering Welfare of Children.,2615,1,1,-80.0112395076766,40.4734893181091
276377405,22044883,10,2022-03-26T03:41:00,"Forbes Ave & Murray Ave Pittsburgh, PA 15217",Y,Squirrel Hill North,4,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3111 Obedience to Traffic-Control Devices. / 3736 Reckless Driving / 3714 Careless Driving / 3802(a)(1) DUI - General Impairment,1403,5,3,-79.9229875636344,40.4380642037493
276380263,22044787,4,2022-03-25T23:41:00,"30 Block Grape St Pittsburgh, PA 15210",Y,Knoxville,3,AGG-ASSAULT,2702 Aggravated Assault. / 3732.1 Aggravated Assault by Vehicle / 3736 Reckless Driving / 901 Criminal Attempt,3001,3,5,-79.9897443235059,40.4135370438916
276385835,22044907,0,2022-03-26T06:58:00,"5200 Block Lytle St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Forced entry by neighbor,1501,5,3,-79.9451793141513,40.4050425516766
276393559,22044942,27,2022-03-26T09:45:00,"30 Block Brahm St Pittsburgh, PA 15212",N,Spring Hill-City View,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2620,1,1,-79.998533823236,40.4630969385239
276393585,22044962,6,2022-03-25T17:00:00,"5300 Block Cornwall St Pittsburgh, PA 15224",N,Garfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1016,9,2,-79.9376644472082,40.4701056365126
276396775,22044947,10,2022-03-26T10:08:00,"2200 Block Wilner Dr Pittsburgh, PA 15221",N,East Hills,5,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1306,,,,
276405209,22045064,6,2022-03-26T11:04:00,"6300 Block Shakespeare St Pittsburgh, PA 15206",N,Shadyside,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,708,,,,
276406962,22039473,6,2022-03-17T12:46:00,"2300 Block Atmore St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2704,1,1,-80.0302934619649,40.4624825790753
276408744,22044952,0,2022-03-26T10:23:00,"5400 Block Stanton Ave Pittsburgh, PA 15206",N,Morningside,5,99,9999 9999 - (Misc. Incident): ,1014,7,2,-79.9304286614509,40.4728744308513
276414929,22045158,6,2022-03-26T18:35:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Bluff,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,103,,,,
277833203,22054280,99,2022-04-11T18:05:00,"6800 Block Meade St Pittsburgh, PA 15208",N,Point Breeze North,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1405,9,2,-79.9098249428627,40.4529962020351
277837499,22054367,17,2022-04-11T20:45:00,Zone 4,N,,4,INDECENT ASSAULT WITHOUT CONSENT,3126(a)(1) Indecent assault without consent,,,,,
277840448,22054378,17,2022-04-09T03:00:00,Zone 2,N,,2,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
277843094,22054403,99,2022-04-11T01:00:00,"500 Block Lincoln Ave Pittsburgh, PA 15206",N,Larimer,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1204,9,2,-79.9097548380336,40.4610662679211
277850380,22054398,26,2022-04-11T23:36:00,"2200 Block Wilner Dr Pittsburgh, PA 15221",Y,Homewood North,5,FALSE RPT LAW ENFORCE AUTH,4906 False Reports to Law Enforcement Authorities.,1301,,,,
277852663,22054455,0,2022-04-12T02:49:00,"3400 Block Clearfield St Pittsburgh, PA 15204",Y,Windgap,6,99,2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2807,2,5,-80.0712986036992,40.4518062776022
277891650,22052695,10,2022-04-08T19:55:00,"400 Block Miller Ave Clairton, PA 15025",Y,Central Lawrenceville,OSC,TERRORISTIC THREATS,2706 Terroristic Threats.,7799,,,-79.8823285404692,40.2962280315244
275389300,22038693,0,2022-03-16T10:00:00,"1600 Block Federal St N Pittsburgh, PA 15212",N,Central North Side,1,99,9999 9999 - (Misc. Incident): ,2503,6,1,-80.0084742370091,40.4595252598798
275947349,22042509,10,2022-03-22T12:30:00,"3200 Block Josephine St Pittsburgh, PA 15203",Y,South Side Slopes,3,HARRASSMENT,2709 Harassment (Non-Specific),1608,3,3,-79.9642364611071,40.4200122486972
276535641,22045934,27,2022-03-28T10:00:00,"100 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3001,3,5,-79.9882586074882,40.4181363978564
276112279,22043296,29,2022-03-23T17:12:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2609,,,,
276217585,22043792,9,2022-03-24T14:40:00,"Lelia St Pittsburgh, PA 15211",N,Mount Washington,3,FORGERY,4101 Forgery. / 3922 Theft by Deception.,1915,1,1,-79.9997897104722,40.4682277586261
276222368,22043844,99,2022-03-24T15:50:00,"7300 Block Hamilton Ave Pittsburgh, PA 15208",N,Homewood South,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1303,9,2,-79.8956475808347,40.4540244912611
276225494,22043903,10,2022-03-24T17:15:00,"2300 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2902,4,3,-79.9855231716653,40.3890572692795
276227230,22043897,99,2022-03-24T17:22:00,"100 Block Old Kirkpatrick  St Pittsburgh, PA 15219",N,Bluff,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,103,6,3,-79.972823189904,40.4377892107852
277740424,22053830,14,2022-04-10T22:50:00,"80 Block Craighead St Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1807,3,5,-79.9985162738365,40.4230572429812
277742067,22053826,0,2022-04-10T22:56:00,Zone 2,N,,2,99,9999 9999 - (Misc. Incident): Registered Sex Offender Violation ,,,,,
277789034,22054062,0,2022-04-11T11:20:00,"1400 Block Locust St Pittsburgh, PA 15219",Y,Bluff,2,99,9994 PFA Service,103,6,3,-79.9854587006851,40.4360439740714
277810311,22054148,27,2022-04-11T13:29:00,"8300 Block Frankstown Ave Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3742 Accidents Involving Death or Personal Injury,1306,9,2,-79.8795925978048,40.4551525660807
276194153,22038352,10,2022-03-15T17:17:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,2,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,103,6,6,-79.9931846836602,40.4350718181921
276204058,22037588,14,2022-03-14T12:30:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Crawford-Roberts,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,305,6,6,-79.9960409452176,40.4350395659105
276228833,22043933,0,2022-03-24T18:40:00,"5800 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): ,1115,,,,
276229850,22043955,99,2022-03-24T18:57:00,"1600 Block Leolyn St Pittsburgh, PA 15210",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2902,,,,
276274741,22044237,0,2022-03-25T06:11:00,"200 Block Elizabeth  St Munhall, PA 15120",N,Outside County,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),6699,,,-79.9068198317632,40.3780688032259
276298364,22044355,0,2022-03-25T10:39:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,99,9999 9999 - (Misc. Incident): ,2609,1,1,-79.9994763962932,40.4757519574098
277714021,22053493,0,2022-04-10T08:24:00,"300 Block Burrows St Pittsburgh, PA 15213",N,Terrace Village,2,99,9999 9999 - (Misc. Incident): ,510,6,3,-79.9706100358154,40.4403804395985
277727234,22053716,0,2022-04-10T17:24:00,"500 Block Mifflin Rd Pittsburgh, PA 15207",N,Hays,4,99,9999 9999 - (Misc. Incident): ,3101,5,3,-79.9103060569334,40.3670454943846
277782120,22054024,5,2022-04-11T09:30:00,"50 Block Van Braam St Pittsburgh, PA 15219",N,Bluff,2,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,103,6,3,-79.9827080734472,40.4369226027138
276578399,22046190,0,2022-03-28T21:54:00,"1300 Block Stedman St Pittsburgh, PA 15233",N,Manchester,1,99,8106 Shots Fired,2107,6,1,-80.0246462529448,40.4538801278414
-3344123073,22050225,10,2022-04-04T15:39:00,"60 Block Larimer Ave Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment.,1115,9,2,-79.9198265509196,40.4618689916814
276094592,21216481,99,2022-03-23T17:00:00,"800 Block Lilac St Pittsburgh, PA 15217",Y,Greenfield,4,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,1517,5,3,-79.9353560634026,40.4249305800417
276105700,22043311,10,2022-03-23T17:43:00,"700 Block Herschel St Pittsburgh, PA 15220",N,Elliott,6,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2020,2,5,-80.0415498166416,40.4389585522375
276194811,22043759,6,2022-03-23T12:00:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1408,5,3,-79.9231547045145,40.4379249093786
276203361,22043723,6,2022-03-24T11:49:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1408,5,3,-79.9231547045145,40.4379249093786
278033894,22055376,5,2022-04-13T15:16:00,"3400 Block Fleming Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,BURGLARY,3502 Burglary. / 3304 Criminal Mischief. / 3503 Criminal Trespass,2703,1,1,-80.038226953709,40.4769999999468
275526797,22038796,0,2022-03-17T11:00:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): Asisst outside agency,2814,2,5,-80.0523506914023,40.4458191424858
276654307,22046458,27,2022-03-26T22:30:00,"2300 Block Noblestown Rd Pittsburgh, PA 15205",N,Oakwood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2812,2,5,-80.0543527688347,40.4278403004268
276425203,22045287,10,2022-03-27T00:42:00,"Centre Ave & S Negley Ave Pittsburgh, PA 15232",N,Bloomfield,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid",806,8,2,-79.9340605671477,40.4572698639493
276426462,22045282,10,2022-03-27T01:03:00,"600 Block William Penn Pl Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault.,201,6,6,-79.9967621340552,40.4411412816935
276433970,22045033,18,2022-03-26T14:33:00,"Paulson Ave & Dunmore St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 4303 General Lighting Requirements. / 9497 Aided Case,1203,9,2,-79.9012004646853,40.4688658534613
276435177,22044964,99,2022-03-26T11:26:00,"8200 Block Bennett St Pittsburgh, PA 15221",Y,East Hills,5,DRUG INVESTIGATION,9124 Drug Investigation / 3362 Maximum Speed Limits.,1306,9,2,-79.8805969928756,40.4549506359763
276436131,22045391,99,2022-03-27T06:30:00,"2000 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),501,6,3,-79.981802236329,40.4456914216677
276481303,22045739,10,2022-03-27T23:41:00,"Frankstown Ave & N Lang Ave Pittsburgh, PA 15208",Y,Homewood North,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,1302,9,2,-79.8985316667264,40.4579137505913
277896446,22054696,6,2022-04-12T12:00:00,"60 Block Millbridge St Pittsburgh, PA 15210",N,Allentown,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass,1803,3,5,-79.9959994178242,40.4223984434227
277896684,22054699,99,2022-04-12T13:40:00,"5400 Block Penn Ave Pittsburgh, PA 15206",N,Garfield,5,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,1114,9,2,-79.9364169041137,40.4646627199602
277906411,22054762,6,2022-04-12T15:30:00,"5800 Block Stanton Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1113,9,2,-79.9230353103146,40.4700989451739
277908230,22054759,6,2022-04-11T08:00:00,"10 Block 35th St Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,603,,,,
277922589,22055059,10,2022-04-13T02:34:00,"2300 Block East Hills Dr Pittsburgh, PA 15221",Y,East Hills,5,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6106 Firearms not to be Carried without a License. / 907 Possessing Instruments of Crime.,1306,9,2,-79.871328586779,40.4566162367709
276239656,22044056,10,2022-03-24T21:40:00,"5500 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,TERRORISTIC THREATS,2706 Terroristic Threats.,1515,5,3,-79.9406010250657,40.4009369843009
-3266000687,22044339,99,2022-03-25T08:00:00,"300 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,LOST PROPERTY,9504 Lost Property,507,8,3,-79.9490918148169,40.445574514372
276403802,22045051,6,2022-03-26T14:29:00,"900 Block Chartiers Ave Pittsburgh, PA 15220",N,Elliott,6,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2020,2,5,-80.0396862307786,40.4434777498736
276693985,22046673,10,2022-03-29T19:09:00,"100 Block Mathews Ave Pittsburgh, PA 15210",N,Knoxville,3,HARRASSMENT,2709(a) Harassment.,3001,3,5,-79.9897132197909,40.4136456595121
276228364,22043871,0,2022-03-24T16:30:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): ,2814,2,5,-80.0523506914023,40.4458191424858
276253462,22044205,0,2022-03-25T02:39:00,"500 Block S Braddock Ave Pittsburgh, PA 15221",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1406,9,3,-79.897431992071,40.4421964748957
276280145,22044270,0,2022-03-25T07:56:00,"N Negley Ave & Penn Ave Pittsburgh, PA 15206",N,Garfield,5,99,9999 9999 - (Misc. Incident): ,1114,9,2,-79.9306639767724,40.4635121897205
276298496,22044376,11,2022-03-25T11:07:00,"300 Block Halket St Pittsburgh, PA 15213",N,Central Oakland,4,IDENTITY THEFT,4120 Identity Theft,405,3,3,-79.9615430224765,40.4370860222289
276304398,22044430,0,2022-03-25T12:52:00,"1400 Block Steuben St Pittsburgh, PA 15220",N,Crafton Heights,6,99,8106 Shots Fired,2814,2,5,-80.0514079645795,40.4425871780142
-3293030893,22043915,0,2022-03-24T17:38:00,"3500 Block Mexico St Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): ,2703,,,,
-3533054003,22044506,6,2022-03-25T15:22:00,"2600 Block Tunnel Blvd Pittsburgh, PA 15203",N,Bluff,3,THEFT FROM AUTO,3934 Theft from Vehicle,103,,,,
276327048,22044498,11,2022-03-25T15:30:00,"1200 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,IDENTITY THEFT,4105(a)(1) Bad Checks / 4120 Identity Theft,1918,4,5,-80.0129939178464,40.3919435731859
276327652,22044552,10,2022-03-25T16:30:00,"6200 Block East Liberty Blvd Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment.,1115,9,2,-79.9198708498666,40.465056906129
-3522024480,22044472,99,2022-03-25T14:39:00,"1500 Block Belasco Ave Pittsburgh, PA 15216",Y,Beechview,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1916,,,,
277816573,22054172,23,2022-04-11T14:45:00,"2800 Block Larkins Way Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3503 Criminal Trespass,1609,3,3,-79.9668109784648,40.4251569667969
277816879,22054206,27,2022-04-11T15:21:00,"1700 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Mt. Oliver Boro,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,4810,4,5,-79.9984687460752,40.3960548362575
277827072,22054237,11,2022-04-11T16:30:00,"1200 Block Federal Trfy N Pittsburgh, PA 15212",N,Central North Side,1,THEFT BY DECEPTION,3922 Theft by Deception.,2206,1,1,-80.0064919678362,40.4560343725137
277833038,22054011,99,2022-04-11T09:49:00,"400 Block Omega Ct Pittsburgh, PA 15206",N,Homewood North,5,LOST PROPERTY,9504 Lost Property,1301,,,,
277853160,22054435,99,2022-04-12T00:59:00,"100 Block Kirk Ave Pittsburgh, PA 15210",N,Carrick,3,AIDED CASE,9497 Aided Case,2904,,,,
277876427,22054548,14,2022-04-12T09:16:00,"7800 Block Tioga St Pittsburgh, PA 15221",Y,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1304,9,2,-79.8879486745149,40.4500921211987
277890733,22054647,99,2022-04-12T12:15:00,"1200 Block Brighton Rd Pittsburgh, PA 15233",N,Central North Side,1,FOUND PROPERTY,9489 Found Property,2206,1,1,-80.0147991841905,40.4546367215774
277892118,22054592,5,2022-04-12T10:41:00,"800 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,BURGLARY,3502 Burglary.,2304,1,1,-80.0018155044537,40.4542270136071
276319020,22044488,6,2022-03-24T09:00:00,"1200 Block Grandview Ave Pittsburgh, PA 15219",N,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,1903,2,5,-80.0182125847737,40.4379420591741
276327096,22044535,27,2022-03-25T13:00:00,"Butler St & 44th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,901,7,2,-79.9597982939809,40.4714688902017
276327479,22044457,10,2022-03-25T14:00:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,HARRASSMENT,2709(a) Harassment.,2609,1,1,-79.9994763962932,40.4757519574098
276327966,22044557,10,2022-03-24T21:35:00,"5800 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT,2709 Harassment (Non-Specific),705,8,2,-79.9314698462019,40.4576355164051
276350016,22044629,27,2022-03-25T18:30:00,"E Ohio St & Middle St Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2304,1,1,-79.9991624082083,40.45376016685
276352059,22044639,0,2022-03-25T19:02:00,"100 Block 6th St Pittsburgh, PA 15222",N,Central Business District,2,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-80.0027419046433,40.4440473749963
276352161,22044677,10,2022-03-25T00:01:00,"1000 Block Lamont Way Pittsburgh, PA 15212",N,California-Kirkbride,1,HARRASSMENT,2709 Harassment (Non-Specific),2507,6,1,-80.0217237837479,40.459988257904
276352846,22044685,6,2022-03-25T14:32:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.9220514004315,40.4616553224018
276355622,22044616,18,2022-03-25T18:31:00,"Crestline St & Nimick Pl Pittsburgh, PA 15221",Y,East Hills,5,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1306,9,2,-79.8765870691336,40.4512999570704
276374294,22044859,27,2022-03-26T02:17:00,"1600 Block W Carson St Pittsburgh, PA 15219",N,South Shore,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident.,1921,2,5,-80.0213528738134,40.4421395488467
277804478,22054138,6,2022-04-11T01:08:00,"3000 Block Smallman St Pittsburgh, PA 15201",N,North Oakland,2,THEFT FROM AUTO,3934 Theft from Vehicle,403,7,6,-79.9732861883749,40.4594972946257
277812819,22054185,0,2022-04-11T13:50:00,"Edmond St & Yew St Pittsburgh, PA 15224",N,Bloomfield,5,99,9999 9999 - (Misc. Incident): ,802,7,2,-79.949553309186,40.4592702335646
277813300,22054187,26,2022-04-11T04:36:00,"1300 Block Pennsylvania Ave Pittsburgh, PA 15233",N,Manchester,1,LOITERING PROWLING AT NIGHT,5506 Loitering and Prowling at Night,2107,6,1,-80.0247965502729,40.4543399075719
277818165,22054217,99,2022-04-11T12:30:00,"3200 Block Parkview Ave Pittsburgh, PA 15213",N,South Oakland,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),409,3,3,-79.9537459428429,40.4294684856027
277822419,22054252,11,2022-04-11T00:01:00,"300 Block Oakville Dr Pittsburgh, PA 15220",N,Banksville,6,CREDIT CARDS,4106 Access Device Fraud / 7615(a)(2) Computer Trespass - Cause Malfunction,2023,2,5,-80.0380092591113,40.4189055757468
277829774,22054287,6,2022-04-09T00:01:00,"7100 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1302,9,2,-79.8985004674126,40.4578978331942
277829990,22054305,6,2022-04-11T00:01:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1918,4,5,-80.0285329382489,40.3945520191713
277867283,22054514,0,2022-04-12T07:22:00,"10 Block Pride St Pittsburgh, PA 15219",N,Bluff,2,99,9998 Overdose Other,103,,,,
277872712,22054519,14,2022-04-12T07:00:00,"5900 Block Kirkwood St Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.9264829082048,40.4626661555855
277875909,22545351,14,2022-04-12T07:00:00,"5900 Block Kirkwood St Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.9264829082048,40.4626661555855
277426340,22051298,10,2022-04-06T12:00:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment.,1115,9,2,-79.9220514004315,40.4616553224018
276229032,22043950,6,2022-03-24T18:30:00,"600 Block Rossmore Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT,3934 Theft from Vehicle / 3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1919,,,,
